Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST4000DM000,Seagate,Desktop HDD 4TB (2013),107,75.5,55983,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598
HDD,,Seagate,ST1000VM002-1CT162 1TB,108,75.3,30279,https://hdd.userbenchmark.com/SpeedTest/11140/ST1000VM002-1CT162
HDD,,WD,WD5000AZLX-00K4KA0 500GB,109,74.9,35823,https://hdd.userbenchmark.com/SpeedTest/5409/WDC-WD5000AZLX-00K4KA0
HDD,ST10000VN0004,Seagate,IronWolf 10TB (2016),110,74.5,202,https://hdd.userbenchmark.com/SpeedTest/161315/ST10000VN0004-1ZD101
HDD,WD2000F9YZ,WD,Se 2TB (2013),111,74.4,1452,https://hdd.userbenchmark.com/SpeedTest/11122/WDC-WD2000F9YZ-0
HDD,ST6000DM004,Seagate,Barracuda Pro 6TB (2016),112,73.9,147,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-6TB-2016/Rating/3900
HDD,WD40PURX,WD,Purple 4TB (2014),113,73.7,5587,https://hdd.userbenchmark.com/SpeedTest/13618/WDC-WD40PURX-64GVNY0
HDD,WD2001FFSX,WD,Red Pro 2TB (2014),114,73.3,602,https://hdd.userbenchmark.com/SpeedTest/25063/WDC-WD2001FFSX-68JNU
HDD,WD4001FAEX,WD,Black 4TB (2012),115,73.1,3364,https://hdd.userbenchmark.com/WD-Black-4TB-2012/Rating/1599
HDD,WD2000FYYZ,WD,Re 2TB (2012),116,72.8,4583,https://hdd.userbenchmark.com/SpeedTest/1402/WDC-WD2000FYYZ-5
HDD,HUS724030ALE640,Hitachi,UltraStar 7K4000 3TB,117,72.6,59,https://hdd.userbenchmark.com/SpeedTest/14588/Hitachi-HUS724030ALE640
HDD,WD30EZRZ,WD,Blue 3TB (2015),118,72.5,55821,https://hdd.userbenchmark.com/WD-Blue-3TB-2015/Rating/3522
HDD,WD20PURZ,WD,Purple Surveillance 2TB (2017),119,72.4,8149,https://hdd.userbenchmark.com/SpeedTest/306805/WDC-WD20PURZ-85GU6Y0
HDD,,Hitachi,HDS721010DLE630 1TB,120,72.2,16618,https://hdd.userbenchmark.com/SpeedTest/744/Hitachi-HDS721010DLE630
