Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7-2920XM,462,62.7,822,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,,Intel,Core i5-8365U,463,62.6,4925,https://cpu.userbenchmark.com/SpeedTest/774761/IntelR-CoreTM-i5-8365U-CPU---160GHz
CPU,,Intel,Core i5-7260U,464,62.5,2165,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz
CPU,,Intel,Core i7-3635QM,465,62.4,2529,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz
CPU,,AMD,FX-8310,466,62.4,1499,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor
CPU,,Intel,Core i7-4702HQ,467,62.4,2965,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,,AMD,Phenom II X4 B65,468,62.3,194,https://cpu.userbenchmark.com/SpeedTest/6054/AMD-Phenomtm-II-X4-B65-Processor
CPU,,Intel,Core i3-6098P,469,62.3,4570,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,BX80646I34170,Intel,Core i3-4170,470,62.2,42033,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,FD8150FRGUBOX,AMD,FX-8150,471,62.2,20434,https://cpu.userbenchmark.com/AMD-FX-8150/Rating/2006
CPU,,AMD,FX-8300,472,62.1,39980,https://cpu.userbenchmark.com/SpeedTest/7163/AMD-FXtm-8300-Eight-Core-Processor
CPU,BX80646I34160,Intel,Core i3-4160,473,62.1,36076,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
